                                                                                                       #config  avg(ms)    p50     p90     p99
                                            maxPool2d{"kernel_size":2,"padding":0,"stride":2}[32][128,112,112]   1.515   1.517   1.516   1.516
            conv2d{"in_channels":128,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[32][128,56,56]   2.514   2.513   2.514   2.514
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[32][256,56,56]   4.188   4.188   4.188   4.188
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[32][256,56,56]   4.191   4.190   4.190   4.192
                                              maxPool2d{"kernel_size":2,"padding":0,"stride":2}[32][256,56,56]   0.784   0.785   0.784   0.783
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[32][256,28,28]   2.098   2.098   2.099   2.101
            conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[32][512,28,28]   3.712   3.712   3.714   3.713
            conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[32][512,28,28]   3.706   3.705   3.707   3.710
                                              maxPool2d{"kernel_size":2,"padding":0,"stride":2}[32][512,28,28]   0.418   0.418   0.417   0.417
            conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[32][512,14,14]   1.072   1.072   1.074   1.073
            conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[32][512,14,14]   1.082   1.082   1.083   1.085
            conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[32][512,14,14]   1.072   1.071   1.073   1.072
                                              maxPool2d{"kernel_size":2,"padding":0,"stride":2}[32][512,14,14]   0.116   0.116   0.117   0.116
                                                                         flatten{"kernel_size":1}[32][512,7,7]   0.010   0.010   0.009   0.011
                                          linear{"bias":true,"in_features":25088,"out_features":4096}[32]25088   1.924   1.924   1.927   1.929
                                            linear{"bias":true,"in_features":4096,"out_features":4096}[32]4096   0.407   0.408   0.407   0.408
                                            linear{"bias":true,"in_features":4096,"out_features":1000}[32]4096   0.049   0.049   0.050   0.049
                                                                                            SUM(avg)  54.964
                                                                                                       #config  avg(ms)    p50     p90     p99
               conv2d{"in_channels":3,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[16][3,224,224]   1.850   1.849   1.888   1.938
             conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[16][64,224,224]   5.168   5.167   5.167   5.169
                                             maxPool2d{"kernel_size":2,"padding":0,"stride":2}[16][64,224,224]   1.521   1.521   1.521   1.521
            conv2d{"in_channels":64,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[16][64,112,112]   2.015   2.014   2.015   2.017
          conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[16][128,112,112]   2.863   2.863   2.866   2.867
                                            maxPool2d{"kernel_size":2,"padding":0,"stride":2}[16][128,112,112]   0.777   0.776   0.777   0.777
            conv2d{"in_channels":128,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[16][128,56,56]   1.357   1.358   1.358   1.358
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[16][256,56,56]   2.233   2.233   2.233   2.235
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[16][256,56,56]   2.231   2.231   2.231   2.233
                                              maxPool2d{"kernel_size":2,"padding":0,"stride":2}[16][256,56,56]   0.407   0.407   0.408   0.407
            conv2d{"in_channels":256,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[16][256,28,28]   1.115   1.114   1.114   1.115
            conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[16][512,28,28]   1.933   1.934   1.934   1.932
            conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[16][512,28,28]   1.926   1.925   1.926   1.927
                                              maxPool2d{"kernel_size":2,"padding":0,"stride":2}[16][512,28,28]   0.204   0.204   0.204   0.203
            conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[16][512,14,14]   0.648   0.648   0.648   0.648
            conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[16][512,14,14]   0.653   0.653   0.654   0.654
            conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[16][512,14,14]   0.647   0.647   0.647   0.649
                                              maxPool2d{"kernel_size":2,"padding":0,"stride":2}[16][512,14,14]   0.074   0.075   0.075   0.074
                                                                         flatten{"kernel_size":1}[16][512,7,7]   0.010   0.010   0.011   0.010
                                          linear{"bias":true,"in_features":25088,"out_features":4096}[16]25088   1.873   1.873   1.874   1.877
                                            linear{"bias":true,"in_features":4096,"out_features":4096}[16]4096   0.387   0.386   0.388   0.390
                                            linear{"bias":true,"in_features":4096,"out_features":1000}[16]4096   0.048   0.048   0.049   0.049
                                                                                            SUM(avg)  29.941
                                                                                                       #config  avg(ms)    p50     p90     p99
                conv2d{"in_channels":3,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[8][3,224,224]   0.975   0.962   1.006   1.018
              conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[8][64,224,224]   2.659   2.660   2.659   2.660
                                              maxPool2d{"kernel_size":2,"padding":0,"stride":2}[8][64,224,224]   0.780   0.779   0.779   0.780
             conv2d{"in_channels":64,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[8][64,112,112]   1.090   1.093   1.092   1.091
           conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[8][128,112,112]   1.543   1.543   1.544   1.545
                                             maxPool2d{"kernel_size":2,"padding":0,"stride":2}[8][128,112,112]   0.403   0.402   0.402   0.403
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[8][128,56,56]   0.745   0.744   0.745   0.745
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[8][256,56,56]   1.166   1.165   1.166   1.166
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[8][256,56,56]   1.166   1.167   1.166   1.168
                                               maxPool2d{"kernel_size":2,"padding":0,"stride":2}[8][256,56,56]   0.198   0.198   0.198   0.197
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[8][256,28,28]   0.658   0.656   0.657   0.658
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[8][512,28,28]   1.079   1.079   1.079   1.079
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[8][512,28,28]   1.070   1.070   1.070   1.069
                                               maxPool2d{"kernel_size":2,"padding":0,"stride":2}[8][512,28,28]   0.112   0.112   0.111   0.112
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[8][512,14,14]   0.451   0.452   0.452   0.453
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[8][512,14,14]   0.453   0.453   0.454   0.456
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[8][512,14,14]   0.451   0.451   0.453   0.451
                                               maxPool2d{"kernel_size":2,"padding":0,"stride":2}[8][512,14,14]   0.053   0.053   0.053   0.054
                                                                          flatten{"kernel_size":1}[8][512,7,7]   0.010   0.011   0.010   0.010
                                           linear{"bias":true,"in_features":25088,"out_features":4096}[8]25088   1.858   1.859   1.860   1.862
                                             linear{"bias":true,"in_features":4096,"out_features":4096}[8]4096   0.382   0.381   0.382   0.383
                                             linear{"bias":true,"in_features":4096,"out_features":1000}[8]4096   0.048   0.048   0.049   0.049
                                                                                            SUM(avg)  17.352
                                                                                                       #config  avg(ms)    p50     p90     p99
                conv2d{"in_channels":3,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[4][3,224,224]   0.576   0.582   0.604   0.613
              conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[4][64,224,224]   1.430   1.424   1.443   1.456
                                              maxPool2d{"kernel_size":2,"padding":0,"stride":2}[4][64,224,224]   0.405   0.406   0.406   0.407
             conv2d{"in_channels":64,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[4][64,112,112]   0.601   0.597   0.598   0.636
           conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[4][128,112,112]   0.862   0.837   0.884   0.986
                                             maxPool2d{"kernel_size":2,"padding":0,"stride":2}[4][128,112,112]   0.197   0.196   0.196   0.198
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[4][128,56,56]   0.479   0.430   0.562   0.709
