                                                                                                       #config  avg(ms)    p50     p90     p99
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[4][256,14,14]   0.598   0.614   0.630   0.757
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[4][256,14,14]   0.594   0.613   0.629   0.716
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[4][256,14,14]   0.593   0.612   0.618   0.726
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[4][256,14,14]   0.594   0.611   0.618   0.748
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[4][256,14,14]   0.592   0.615   0.618   0.730
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[4][256,14,14]   0.592   0.611   0.616   0.738
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[4][256,14,14]   0.591   0.608   0.629   0.733
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[4][256,14,14]   0.592   0.611   0.631   0.731
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[4][256,14,14]   0.593   0.613   0.630   0.731
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[4][256,14,14]   0.596   0.628   0.628   0.758
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":512,"padding":1,"stride":2}[4][256,14,14]   0.632   0.638   0.668   0.799
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[4][512,7,7]   0.551   0.550   0.587   0.645
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[4][512,7,7]   0.515   0.517   0.557   0.639
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[4][512,7,7]   0.499   0.519   0.560   0.653
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[4][512,7,7]   0.480   0.499   0.556   0.681
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[4][512,7,7]   0.502   0.461   0.595   0.669
                                                   adAvgPool2d{"output_height":1,"output_width":1}[4][512,7,7]   0.086   0.078   0.099   0.152
                                                                          flatten{"kernel_size":1}[4][512,1,1]   0.080   0.077   0.109   0.117
                                               linear{"bias":true,"in_features":512,"out_features":1000}[4]512   0.089   0.086   0.108   0.089
                                                                                            SUM(avg)  16.899
                                                                                                       #config  avg(ms)    p50     p90     p99
                conv2d{"in_channels":3,"kernel_size":7,"out_channels":64,"padding":3,"stride":2}[2][3,224,224]   0.272   0.275   0.292   0.348
                                              maxPool2d{"kernel_size":3,"padding":1,"stride":2}[2][64,112,112]   0.114   0.123   0.119   0.130
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[2][64,56,56]   0.297   0.306   0.311   0.457
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[2][64,56,56]   0.273   0.276   0.268   0.432
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[2][64,56,56]   0.257   0.257   0.276   0.446
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[2][64,56,56]   0.217   0.225   0.212   0.443
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[2][64,56,56]   0.198   0.195   0.198   0.449
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[2][64,56,56]   0.181   0.188   0.183   0.274
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":128,"padding":1,"stride":2}[2][64,56,56]   0.764   0.794   0.768   0.876
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[2][128,28,28]   0.392   0.435   0.407   0.612
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[2][128,28,28]   0.404   0.459   0.477   0.572
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[2][128,28,28]   0.407   0.462   0.496   0.552
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[2][128,28,28]   0.414   0.464   0.443   0.535
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[2][128,28,28]   0.428   0.480   0.426   0.547
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[2][128,28,28]   0.440   0.479   0.465   0.547
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[2][128,28,28]   0.445   0.487   0.591   0.606
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":256,"padding":1,"stride":2}[2][128,28,28]   0.414   0.449   0.523   0.527
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[2][256,14,14]   0.526   0.569   0.669   0.680
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[2][256,14,14]   0.516   0.560   0.671   0.659
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[2][256,14,14]   0.514   0.557   0.659   0.671
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[2][256,14,14]   0.514   0.559   0.676   0.685
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[2][256,14,14]   0.514   0.561   0.658   0.671
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[2][256,14,14]   0.513   0.561   0.663   0.670
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[2][256,14,14]   0.513   0.567   0.665   0.673
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[2][256,14,14]   0.512   0.559   0.664   0.660
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[2][256,14,14]   0.513   0.563   0.660   0.680
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[2][256,14,14]   0.514   0.565   0.664   0.681
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[2][256,14,14]   0.516   0.596   0.638   0.679
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":512,"padding":1,"stride":2}[2][256,14,14]   0.439   0.504   0.539   0.560
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[2][512,7,7]   0.466   0.525   0.555   0.608
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[2][512,7,7]   0.446   0.477   0.547   0.596
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[2][512,7,7]   0.430   0.402   0.532   0.631
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[2][512,7,7]   0.426   0.392   0.526   0.621
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[2][512,7,7]   0.443   0.425   0.537   0.598
                                                   adAvgPool2d{"output_height":1,"output_width":1}[2][512,7,7]   0.098   0.090   0.112   0.136
                                                                          flatten{"kernel_size":1}[2][512,1,1]   0.086   0.088   0.111   0.132
                                               linear{"bias":true,"in_features":512,"out_features":1000}[2]512   0.097   0.104   0.109   0.115
                                                                                            SUM(avg)  14.513
                                                                                                       #config  avg(ms)    p50     p90     p99
                conv2d{"in_channels":3,"kernel_size":7,"out_channels":64,"padding":3,"stride":2}[1][3,224,224]   0.248   0.234   0.271   0.354
                                              maxPool2d{"kernel_size":3,"padding":1,"stride":2}[1][64,112,112]   0.108   0.096   0.130   0.155
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[1][64,56,56]   0.407   0.340   0.463   0.463
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[1][64,56,56]   0.407   0.384   0.452   0.427
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[1][64,56,56]   0.414   0.401   0.454   0.458
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[1][64,56,56]   0.420   0.395   0.459   0.379
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[1][64,56,56]   0.423   0.404   0.462   0.385
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[1][64,56,56]   0.426   0.415   0.459   0.387
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":128,"padding":1,"stride":2}[1][64,56,56]   0.403   0.402   0.445   0.518
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[1][128,28,28]   0.406   0.408   0.455   0.531
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[1][128,28,28]   0.398   0.402   0.437   0.532
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[1][128,28,28]   0.396   0.397   0.437   0.522
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[1][128,28,28]   0.396   0.402   0.436   0.519
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[1][128,28,28]   0.396   0.399   0.436   0.543
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[1][128,28,28]   0.396   0.408   0.436   0.513
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[1][128,28,28]   0.401   0.411   0.443   0.562
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":256,"padding":1,"stride":2}[1][128,28,28]   0.410   0.414   0.453   0.560
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[1][256,14,14]   0.448   0.461   0.497   0.606
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[1][256,14,14]   0.441   0.459   0.495   0.598
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[1][256,14,14]   0.435   0.454   0.489   0.611
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[1][256,14,14]   0.429   0.451   0.493   0.592
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[1][256,14,14]   0.427   0.455   0.493   0.601
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[1][256,14,14]   0.421   0.453   0.492   0.569
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[1][256,14,14]   0.418   0.450   0.492   0.589
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[1][256,14,14]   0.414   0.451   0.490   0.543
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[1][256,14,14]   0.411   0.450   0.494   0.594
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[1][256,14,14]   0.410   0.454   0.492   0.589
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[1][256,14,14]   0.371   0.458   0.500   0.590
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":512,"padding":1,"stride":2}[1][256,14,14]   0.360   0.392   0.456   0.564
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[1][512,7,7]   0.276   0.274   0.316   0.364
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[1][512,7,7]   0.260   0.256   0.300   0.355
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[1][512,7,7]   0.265   0.261   0.308   0.352
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[1][512,7,7]   0.272   0.268   0.324   0.368
               conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[1][512,7,7]   0.307   0.306   0.351   0.356
                                                   adAvgPool2d{"output_height":1,"output_width":1}[1][512,7,7]   0.087   0.087   0.111   0.146
                                                                          flatten{"kernel_size":1}[1][512,1,1]   0.075   0.067   0.113   0.129
                                               linear{"bias":true,"in_features":512,"out_features":1000}[1]512   0.088   0.088   0.111   0.112
                                                                                            SUM(avg)  13.068
