                                                                                                       #config  avg(ms)    p50     p90     p99
    conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[64][192,17,17]   0.672   0.669   0.672   0.842
    conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[64][192,17,17]   0.667   0.667   0.667   0.669
    conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[64][192,17,17]   0.661   0.661   0.661   0.662
    conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[64][192,17,17]   0.660   0.659   0.659   0.684
                                                                        concat{"kernel_size":1}[64][768,17,17]   0.558   0.558   0.558   0.556
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[64][768,17,17]   0.615   0.614   0.615   0.614
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[64][768,17,17]   0.587   0.587   0.587   0.586
                                              maxPool2d{"kernel_size":3,"padding":0,"stride":2}[64][768,17,17]   0.470   0.469   0.468   0.473
            conv2d{"in_channels":192,"kernel_size":3,"out_channels":320,"padding":0,"stride":2}[64][192,17,17]   0.387   0.385   0.387   0.396
    conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[64][192,17,17]   0.680   0.679   0.679   0.675
    conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[64][192,17,17]   0.660   0.658   0.660   0.657
            conv2d{"in_channels":192,"kernel_size":3,"out_channels":192,"padding":0,"stride":2}[64][192,17,17]   0.284   0.283   0.283   0.365
                                                                         concat{"kernel_size":1}[64][1280,8,8]   0.258   0.257   0.259   0.258
            conv2d{"in_channels":1280,"kernel_size":1,"out_channels":320,"padding":0,"stride":1}[64][1280,8,8]   0.325   0.324   0.324   0.326
            conv2d{"in_channels":1280,"kernel_size":1,"out_channels":384,"padding":0,"stride":1}[64][1280,8,8]   0.382   0.380   0.381   0.420
            conv2d{"in_channels":1280,"kernel_size":1,"out_channels":448,"padding":0,"stride":1}[64][1280,8,8]   0.403   0.402   0.404   0.404
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[64][1280,8,8]   0.470   0.469   0.469   0.499
      conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[64][384,8,8]   0.274   0.275   0.275   0.277
      conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[64][384,8,8]   0.262   0.263   0.262   0.260
              conv2d{"in_channels":448,"kernel_size":3,"out_channels":384,"padding":1,"stride":1}[64][448,8,8]   0.562   0.561   0.561   0.693
            conv2d{"in_channels":1280,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[64][1280,8,8]   0.265   0.265   0.264   0.266
                                                                          concat{"kernel_size":1}[64][768,8,8]   0.058   0.057   0.058   0.059
      conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[64][384,8,8]   0.280   0.279   0.280   0.352
      conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[64][384,8,8]   0.260   0.260   0.260   0.380
                                                                          concat{"kernel_size":1}[64][768,8,8]   0.059   0.059   0.059   0.060
                                                                         concat{"kernel_size":1}[64][2048,8,8]   0.422   0.422   0.423   0.424
            conv2d{"in_channels":2048,"kernel_size":1,"out_channels":320,"padding":0,"stride":1}[64][2048,8,8]   0.448   0.449   0.448   0.449
            conv2d{"in_channels":2048,"kernel_size":1,"out_channels":384,"padding":0,"stride":1}[64][2048,8,8]   0.476   0.475   0.475   0.475
            conv2d{"in_channels":2048,"kernel_size":1,"out_channels":448,"padding":0,"stride":1}[64][2048,8,8]   0.543   0.543   0.543   0.546
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[64][2048,8,8]   0.738   0.737   0.738   0.738
      conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[64][384,8,8]   0.276   0.277   0.277   0.276
      conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[64][384,8,8]   0.260   0.260   0.261   0.263
              conv2d{"in_channels":448,"kernel_size":3,"out_channels":384,"padding":1,"stride":1}[64][448,8,8]   0.556   0.557   0.557   0.556
            conv2d{"in_channels":2048,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[64][2048,8,8]   0.359   0.359   0.360   0.360
                                                                          concat{"kernel_size":1}[64][768,8,8]   0.055   0.054   0.055   0.055
      conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[64][384,8,8]   0.281   0.280   0.280   0.283
      conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[64][384,8,8]   0.263   0.263   0.264   0.263
                                                                          concat{"kernel_size":1}[64][768,8,8]   0.060   0.060   0.061   0.061
                                                                         concat{"kernel_size":1}[64][2048,8,8]   0.136   0.136   0.136   0.136
                                                 adAvgPool2d{"output_height":1,"output_width":1}[64][2048,8,8]   0.098   0.098   0.098   0.098
                                                                        flatten{"kernel_size":1}[64][2048,1,1]   0.010   0.011   0.011   0.011
                                            linear{"bias":true,"in_features":2048,"out_features":1000}[64]2048   0.034   0.034   0.035   0.035
                                                                                            SUM(avg)  91.529
                                                                                                       #config  avg(ms)    p50     p90     p99
               conv2d{"in_channels":3,"kernel_size":3,"out_channels":32,"padding":0,"stride":2}[32][3,299,299]   0.813   0.824   0.837   0.888
             conv2d{"in_channels":32,"kernel_size":3,"out_channels":32,"padding":0,"stride":1}[32][32,149,149]   2.119   2.115   2.127   2.153
             conv2d{"in_channels":32,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[32][32,147,147]   2.739   2.739   2.742   2.738
                                             maxPool2d{"kernel_size":3,"padding":0,"stride":2}[32][64,147,147]   1.273   1.272   1.274   1.272
               conv2d{"in_channels":64,"kernel_size":1,"out_channels":80,"padding":0,"stride":1}[32][64,73,73]   0.618   0.619   0.616   0.617
              conv2d{"in_channels":80,"kernel_size":3,"out_channels":192,"padding":0,"stride":1}[32][80,73,73]   2.470   2.470   2.469   2.472
                                              maxPool2d{"kernel_size":3,"padding":0,"stride":2}[32][192,71,71]   1.158   1.157   1.158   1.156
             conv2d{"in_channels":192,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[32][192,35,35]   0.330   0.331   0.331   0.330
             conv2d{"in_channels":192,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[32][192,35,35]   0.286   0.285   0.287   0.286
             conv2d{"in_channels":192,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[32][192,35,35]   0.305   0.305   0.304   0.306
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[32][192,35,35]   0.668   0.667   0.668   0.668
               conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[32][48,35,35]   0.467   0.470   0.467   0.466
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[32][64,35,35]   0.398   0.395   0.398   0.396
             conv2d{"in_channels":192,"kernel_size":1,"out_channels":32,"padding":0,"stride":1}[32][192,35,35]   0.235   0.235   0.235   0.236
               conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[32][96,35,35]   0.494   0.496   0.495   0.495
                                                                        concat{"kernel_size":1}[32][256,35,35]   0.497   0.499   0.497   0.500
             conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[32][256,35,35]   0.430   0.424   0.433   0.585
             conv2d{"in_channels":256,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[32][256,35,35]   0.357   0.347   0.380   0.517
             conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[32][256,35,35]   0.457   0.425   0.548   0.582
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[32][256,35,35]   0.884   0.884   0.885   0.885
               conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[32][48,35,35]   0.467   0.465   0.470   0.466
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[32][64,35,35]   0.433   0.400   0.480   0.520
             conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[32][256,35,35]   0.496   0.418   0.597   0.569
               conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[32][96,35,35]   0.555   0.498   0.635   0.663
                                                                        concat{"kernel_size":1}[32][288,35,35]   0.553   0.552   0.556   0.564
             conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[32][288,35,35]   0.518   0.439   0.617   0.665
             conv2d{"in_channels":288,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[32][288,35,35]   0.429   0.381   0.515   0.400
             conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[32][288,35,35]   0.458   0.412   0.545   0.418
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[32][288,35,35]   0.992   0.992   0.991   0.991
               conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[32][48,35,35]   0.468   0.469   0.469   0.465
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[32][64,35,35]   0.403   0.397   0.416   0.394
             conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[32][288,35,35]   0.456   0.441   0.527   0.439
               conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[32][96,35,35]   0.505   0.504   0.500   0.544
                                                                        concat{"kernel_size":1}[32][288,35,35]   0.444   0.445   0.443   0.443
            conv2d{"in_channels":288,"kernel_size":3,"out_channels":384,"padding":0,"stride":2}[32][288,35,35]   1.056   1.058   1.057   1.097
             conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[32][288,35,35]   0.438   0.438   0.436   0.438
                                              maxPool2d{"kernel_size":3,"padding":0,"stride":2}[32][288,35,35]   0.349   0.349   0.349   0.350
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[32][64,35,35]   0.404   0.404   0.402   0.403
               conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":0,"stride":2}[32][96,35,35]   0.263   0.262   0.263   0.262
                                                                        concat{"kernel_size":1}[32][768,17,17]   0.353   0.350   0.351   0.349
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[32][768,17,17]   0.459   0.515   0.400   0.401
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":128,"padding":0,"stride":1}[32][768,17,17]   0.371   0.433   0.336   0.331
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":128,"padding":0,"stride":1}[32][768,17,17]   0.374   0.454   0.325   0.325
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[32][768,17,17]   0.647   0.646   0.639   0.637
    conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":128,"padding":[0,3],"stride":1}[32][128,17,17]   0.256   0.253   0.253   0.250
    conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":128,"padding":[3,0],"stride":1}[32][128,17,17]   0.334   0.442   0.285   0.266
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[32][768,17,17]   0.507   0.566   0.466   0.464
    conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[32][128,17,17]   0.328   0.383   0.285   0.301
    conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":128,"padding":[0,3],"stride":1}[32][128,17,17]   0.304   0.373   0.340   0.303
    conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":128,"padding":[3,0],"stride":1}[32][128,17,17]   0.446   0.515   0.401   0.443
    conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[32][128,17,17]   0.384   0.420   0.353   0.384
                                                                        concat{"kernel_size":1}[32][768,17,17]   0.364   0.370   0.364   0.382
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[32][768,17,17]   0.490   0.545   0.507   0.600
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[32][768,17,17]   0.401   0.418   0.418   0.518
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[32][768,17,17]   0.417   0.401   0.419   0.518
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[32][768,17,17]   0.634   0.634   0.633   0.632
    conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[32][160,17,17]   0.363   0.358   0.358   0.347
    conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[32][160,17,17]   0.374   0.324   0.435   0.523
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[32][768,17,17]   0.470   0.412   0.540   0.495
    conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[32][160,17,17]   0.364   0.339   0.423   0.363
    conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[32][160,17,17]   0.372   0.357   0.449   0.394
    conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[32][160,17,17]   0.486   0.485   0.537   0.519
    conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[32][160,17,17]   0.413   0.396   0.425   0.421
                                                                        concat{"kernel_size":1}[32][768,17,17]   0.361   0.358   0.361   0.359
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[32][768,17,17]   0.460   0.461   0.462   0.608
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[32][768,17,17]   0.369   0.370   0.368   0.394
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[32][768,17,17]   0.383   0.380   0.415   0.417
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[32][768,17,17]   0.635   0.636   0.634   0.635
    conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[32][160,17,17]   0.327   0.338   0.326   0.359
    conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[32][160,17,17]   0.326   0.324   0.326   0.322
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[32][768,17,17]   0.402   0.401   0.400   0.479
    conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[32][160,17,17]   0.341   0.339   0.339   0.498
    conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[32][160,17,17]   0.331   0.330   0.332   0.397
    conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[32][160,17,17]   0.429   0.461   0.487   0.508
    conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[32][160,17,17]   0.392   0.395   0.398   0.560
                                                                        concat{"kernel_size":1}[32][768,17,17]   0.361   0.361   0.359   0.491
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[32][768,17,17]   0.474   0.465   0.477   0.552
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[32][768,17,17]   0.378   0.379   0.379   0.378
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[32][768,17,17]   0.392   0.404   0.393   0.396
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[32][768,17,17]   0.634   0.635   0.636   0.644
    conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[32][192,17,17]   0.399   0.400   0.399   0.445
    conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[32][192,17,17]   0.364   0.364   0.366   0.363
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[32][768,17,17]   0.405   0.403   0.401   0.423
    conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[32][192,17,17]   0.408   0.392   0.459   0.404
    conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[32][192,17,17]   0.364   0.362   0.361   0.359
    conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[32][192,17,17]   0.452   0.440   0.464   0.528
    conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[32][192,17,17]   0.475   0.480   0.478   0.480
                                                                        concat{"kernel_size":1}[32][768,17,17]   0.300   0.309   0.292   0.292
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[32][768,17,17]   0.447   0.449   0.460   0.499
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[32][768,17,17]   0.402   0.399   0.385   0.430
                                              maxPool2d{"kernel_size":3,"padding":0,"stride":2}[32][768,17,17]   0.278   0.277   0.279   0.287
            conv2d{"in_channels":192,"kernel_size":3,"out_channels":320,"padding":0,"stride":2}[32][192,17,17]   0.457   0.421   0.415   0.488
    conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[32][192,17,17]   0.535   0.549   0.519   0.811
    conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[32][192,17,17]   0.456   0.402   0.399   0.777
            conv2d{"in_channels":192,"kernel_size":3,"out_channels":192,"padding":0,"stride":2}[32][192,17,17]   0.477   0.424   0.422   0.644
                                                                         concat{"kernel_size":1}[32][1280,8,8]   0.311   0.294   0.284   0.481
            conv2d{"in_channels":1280,"kernel_size":1,"out_channels":320,"padding":0,"stride":1}[32][1280,8,8]   0.495   0.533   0.528   0.554
            conv2d{"in_channels":1280,"kernel_size":1,"out_channels":384,"padding":0,"stride":1}[32][1280,8,8]   0.437   0.458   0.469   0.468
            conv2d{"in_channels":1280,"kernel_size":1,"out_channels":448,"padding":0,"stride":1}[32][1280,8,8]   0.389   0.378   0.400   0.381
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[32][1280,8,8]   0.279   0.282   0.279   0.285
      conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[32][384,8,8]   0.499   0.533   0.533   0.629
      conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[32][384,8,8]   0.524   0.566   0.575   0.718
              conv2d{"in_channels":448,"kernel_size":3,"out_channels":384,"padding":1,"stride":1}[32][448,8,8]   0.765   0.698   0.908   0.899
            conv2d{"in_channels":1280,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[32][1280,8,8]   0.370   0.395   0.396   0.389
                                                                          concat{"kernel_size":1}[32][768,8,8]   0.130   0.139   0.134   0.136
      conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[32][384,8,8]   0.561   0.608   0.593   0.710
      conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[32][384,8,8]   0.534   0.579   0.580   0.598
                                                                          concat{"kernel_size":1}[32][768,8,8]   0.120   0.126   0.135   0.122
                                                                         concat{"kernel_size":1}[32][2048,8,8]   0.383   0.419   0.423   0.442
            conv2d{"in_channels":2048,"kernel_size":1,"out_channels":320,"padding":0,"stride":1}[32][2048,8,8]   0.644   0.656   0.649   0.833
            conv2d{"in_channels":2048,"kernel_size":1,"out_channels":384,"padding":0,"stride":1}[32][2048,8,8]   0.415   0.422   0.426   0.433
            conv2d{"in_channels":2048,"kernel_size":1,"out_channels":448,"padding":0,"stride":1}[32][2048,8,8]   0.546   0.563   0.572   0.576
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[32][2048,8,8]   0.417   0.416   0.417   0.418
      conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[32][384,8,8]   0.532   0.542   0.546   0.547
      conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[32][384,8,8]   0.524   0.533   0.542   0.543
              conv2d{"in_channels":448,"kernel_size":3,"out_channels":384,"padding":1,"stride":1}[32][448,8,8]   0.838   0.882   0.889   0.936
            conv2d{"in_channels":2048,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[32][2048,8,8]   0.428   0.441   0.436   0.445
                                                                          concat{"kernel_size":1}[32][768,8,8]   0.149   0.162   0.171   0.218
      conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[32][384,8,8]   0.562   0.568   0.573   0.609
      conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[32][384,8,8]   0.570   0.589   0.596   0.593
                                                                          concat{"kernel_size":1}[32][768,8,8]   0.140   0.144   0.139   0.137
                                                                         concat{"kernel_size":1}[32][2048,8,8]   0.239   0.244   0.262   0.242
                                                 adAvgPool2d{"output_height":1,"output_width":1}[32][2048,8,8]   0.189   0.185   0.213   0.213
                                                                        flatten{"kernel_size":1}[32][2048,1,1]   0.110   0.100   0.138   0.179
                                            linear{"bias":true,"in_features":2048,"out_features":1000}[32]2048   0.159   0.171   0.167   0.169
                                                                                            SUM(avg)  62.068
                                                                                                       #config  avg(ms)    p50     p90     p99
               conv2d{"in_channels":3,"kernel_size":3,"out_channels":32,"padding":0,"stride":2}[16][3,299,299]   0.438   0.435   0.460   0.474
             conv2d{"in_channels":32,"kernel_size":3,"out_channels":32,"padding":0,"stride":1}[16][32,149,149]   1.078   1.068   1.101   1.146
             conv2d{"in_channels":32,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[16][32,147,147]   1.420   1.412   1.447   1.461
                                             maxPool2d{"kernel_size":3,"padding":0,"stride":2}[16][64,147,147]   0.650   0.651   0.649   0.651
               conv2d{"in_channels":64,"kernel_size":1,"out_channels":80,"padding":0,"stride":1}[16][64,73,73]   0.348   0.349   0.348   0.349
              conv2d{"in_channels":80,"kernel_size":3,"out_channels":192,"padding":0,"stride":1}[16][80,73,73]   1.329   1.324   1.362   1.352
                                              maxPool2d{"kernel_size":3,"padding":0,"stride":2}[16][192,71,71]   0.577   0.563   0.568   0.638
             conv2d{"in_channels":192,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[16][192,35,35]   0.196   0.195   0.200   0.254
             conv2d{"in_channels":192,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[16][192,35,35]   0.263   0.248   0.320   0.496
             conv2d{"in_channels":192,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[16][192,35,35]   0.215   0.189   0.382   0.409
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[16][192,35,35]   0.387   0.383   0.417   0.460
               conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[16][48,35,35]   0.489   0.505   0.563   0.601
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[16][64,35,35]   0.527   0.536   0.617   0.671
             conv2d{"in_channels":192,"kernel_size":1,"out_channels":32,"padding":0,"stride":1}[16][192,35,35]   0.292   0.301   0.352   0.446
               conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[16][96,35,35]   0.523   0.530   0.598   0.679
                                                                        concat{"kernel_size":1}[16][256,35,35]   0.269   0.271   0.293   0.308
             conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[16][256,35,35]   0.375   0.386   0.437   0.571
             conv2d{"in_channels":256,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[16][256,35,35]   0.375   0.384   0.410   0.501
             conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[16][256,35,35]   0.338   0.347   0.280   0.426
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[16][256,35,35]   0.484   0.484   0.472   0.517
               conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[16][48,35,35]   0.340   0.332   0.297   0.504
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[16][64,35,35]   0.487   0.512   0.387   0.572
             conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[16][256,35,35]   0.370   0.381   0.306   0.507
               conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[16][96,35,35]   0.520   0.528   0.456   0.645
                                                                        concat{"kernel_size":1}[16][288,35,35]   0.289   0.290   0.283   0.506
             conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[16][288,35,35]   0.469   0.489   0.397   0.862
             conv2d{"in_channels":288,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[16][288,35,35]   0.392   0.406   0.337   0.720
             conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[16][288,35,35]   0.350   0.367   0.300   0.455
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[16][288,35,35]   0.528   0.528   0.524   0.568
               conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[16][48,35,35]   0.413   0.409   0.402   0.779
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[16][64,35,35]   0.452   0.493   0.483   0.652
             conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[16][288,35,35]   0.381   0.402   0.399   0.701
               conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[16][96,35,35]   0.501   0.529   0.525   0.944
                                                                        concat{"kernel_size":1}[16][288,35,35]   0.279   0.283   0.275   0.551
            conv2d{"in_channels":288,"kernel_size":3,"out_channels":384,"padding":0,"stride":2}[16][288,35,35]   0.883   0.925   0.933   1.158
             conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[16][288,35,35]   0.336   0.350   0.319   0.620
                                              maxPool2d{"kernel_size":3,"padding":0,"stride":2}[16][288,35,35]   0.199   0.203   0.203   0.267
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[16][64,35,35]   0.357   0.416   0.418   0.745
               conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":0,"stride":2}[16][96,35,35]   0.280   0.302   0.311   0.793
                                                                        concat{"kernel_size":1}[16][768,17,17]   0.328   0.327   0.343   0.408
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[16][768,17,17]   0.460   0.490   0.531   0.565
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":128,"padding":0,"stride":1}[16][768,17,17]   0.304   0.298   0.344   0.351
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":128,"padding":0,"stride":1}[16][768,17,17]   0.360   0.331   0.391   0.338
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[16][768,17,17]   0.368   0.358   0.388   0.353
    conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":128,"padding":[0,3],"stride":1}[16][128,17,17]   0.372   0.348   0.403   0.363
