                                                                                                       #config  avg(ms)    p50     p90     p99
   conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":128,"padding":[0,3],"stride":1}[128][128,17,17]   0.571   0.571   0.570   0.571
   conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":128,"padding":[3,0],"stride":1}[128][128,17,17]   0.542   0.537   0.543   0.544
   conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[128][128,17,17]   0.770   0.770   0.772   0.770
                                                                       concat{"kernel_size":1}[128][768,17,17]   1.331   1.330   1.330   1.328
           conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[128][768,17,17]   1.034   1.034   1.037   1.034
           conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[128][768,17,17]   0.971   0.972   0.972   0.972
           conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[128][768,17,17]   0.967   0.968   0.966   0.969
                                             avgPool2d{"kernel_size":3,"padding":1,"stride":1}[128][768,17,17]   2.475   2.475   2.476   2.474
   conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[128][160,17,17]   0.927   0.926   0.928   0.926
   conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[128][160,17,17]   0.923   0.923   0.923   0.922
           conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[128][768,17,17]   1.029   1.029   1.031   1.030
   conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[128][160,17,17]   2.005   0.972   0.974  53.438
   conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[128][160,17,17]   0.921   0.920   0.920   0.921
   conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[128][160,17,17]   1.449   0.920   0.917   0.921
   conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[128][160,17,17]   0.970   0.969   0.971   0.971
                                                                       concat{"kernel_size":1}[128][768,17,17]   1.330   1.330   1.327   1.336
           conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[128][768,17,17]   1.034   1.035   1.035   1.030
           conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[128][768,17,17]   0.972   0.972   0.969   0.972
           conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[128][768,17,17]   0.967   0.968   0.969   0.966
                                             avgPool2d{"kernel_size":3,"padding":1,"stride":1}[128][768,17,17]   2.475   2.475   2.476   2.476
   conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[128][160,17,17]   0.927   0.928   0.926   0.927
   conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[128][160,17,17]   0.923   0.922   0.921   0.925
           conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[128][768,17,17]   1.029   1.030   1.033   1.026
   conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[128][160,17,17]   0.972   0.971   0.973   0.974
   conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[128][160,17,17]   0.921   0.921   0.921   0.920
   conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[128][160,17,17]   0.920   0.920   0.920   0.920
   conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[128][160,17,17]   0.969   0.970   0.972   0.968
                                                                       concat{"kernel_size":1}[128][768,17,17]   1.330   1.331   1.331   1.330
           conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[128][768,17,17]   1.034   1.035   1.033   1.038
           conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[128][768,17,17]   1.007   1.007   1.008   1.007
           conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[128][768,17,17]   1.005   1.005   1.004   1.005
                                             avgPool2d{"kernel_size":3,"padding":1,"stride":1}[128][768,17,17]   2.476   2.475   2.477   2.476
   conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[128][192,17,17]   1.061   1.060   1.061   1.061
   conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[128][192,17,17]   1.057   1.058   1.057   1.057
           conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[128][768,17,17]   1.030   1.030   1.028   1.028
   conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[128][192,17,17]   1.056   1.055   1.057   1.057
